FingerPrint,Week,Iteration,Unscheduled,Count ,,
6.64E+11,17,1,0,1,,
6.63652080288000E+11 Total,17,,,1,,17
1.20E+12,16,700,0,1,,16
1.20E+12,16,17536,0,1,,16
1.19993044003200E+12 Total,32,,,2,,16
1.26E+12,16,16783,0,1,,16
1.25588728707200E+12 Total,16,,,1,,16
1.26E+12,16,11386,0,1,,16
1.25805394345600E+12 Total,16,,,1,,16
1.28E+12,16,2951,0,1,,16
1.28E+12,16,6185,0,1,,16
1.28092843209600E+12 Total,32,,,2,,16
1.28E+12,16,12330,0,1,,16
1.28190155500800E+12 Total,16,,,1,,16
1.28E+12,16,2,0,1,,16
1.28E+12,16,19849,0,1,,16
1.28496983478400E+12 Total,32,,,2,,16
1.29E+12,16,9267,0,1,,16
1.28778370627200E+12 Total,16,,,1,,16
1.30E+12,16,5323,0,1,,16
1.30E+12,16,6966,0,1,,16
1.30E+12,16,10003,0,1,,16
1.30E+12,16,13078,0,1,,16
1.30E+12,16,14520,0,1,,16
1.29547190406400E+12 Total,80,,,5,,16
1.30E+12,16,15231,0,1,,16
1.30E+12,16,18351,0,1,,16
1.30145217875200E+12 Total,32,,,2,,16
1.31E+12,16,3812,0,1,,16
1.31014556374400E+12 Total,16,,,1,,16
1.32E+12,16,7795,0,1,,16
1.32141169312000E+12 Total,16,,,1,,16
1.32E+12,16,22857,0,1,,16
1.32446901638400E+12 Total,16,,,1,,16
1.33E+12,16,16017,0,1,,16
1.32659410217600E+12 Total,16,,,1,,16
1.33E+12,16,4570,0,1,,16
1.33E+12,16,21372,0,1,,16
1.33316978425600E+12 Total,32,,,2,,16
1.34E+12,16,10719,0,1,,16
1.33623806403200E+12 Total,16,,,1,,16
1.35E+12,16,2112,0,1,,16
1.35E+12,16,8569,0,1,,16
1.35E+12,16,19071,0,1,,16
1.35E+12,16,20692,0,1,,16
1.35E+12,16,22062,0,1,,16
1.34674013331200E+12 Total,80,,,5,,16
1.35E+12,16,1412,0,1,,16
1.35272040800000E+12 Total,16,,,1,,16
1.37E+12,16,13791,0,1,,16
1.37162532982400E+12 Total,16,,,1,,16
1.76E+12,15,16784,0,1,,15
1.76484170379200E+12 Total,15,,,1,,15
1.77E+12,15,11387,0,1,,15
1.77409256824600E+12 Total,15,,,1,,15
1.79E+12,15,17537,0,1,,15
1.79305414810200E+12 Total,15,,,1,,15
1.80E+12,15,6967,0,1,,15
1.80200012517400E+12 Total,15,,,1,,15
1.85E+12,15,701,0,1,,15
1.85436595516200E+12 Total,15,,,1,,15
1.86E+12,15,22063,2,1,,15
1.85895530586200E+12 Total,15,,,1,,15
1.86E+12,15,15232,0,1,,15
1.86363412532200E+12 Total,15,,,1,,15
1.87E+12,15,2113,0,1,,15
1.87E+12,15,8570,0,1,,15
1.87E+12,15,20693,0,1,,15
1.86565285995200E+12 Total,45,,,3,,15
1.88E+12,15,22858,2,1,,15
1.87561771457400E+12 Total,15,,,1,,15
1.88E+12,15,18352,0,1,,15
1.87760494184200E+12 Total,15,,,1,,15
1.88E+12,15,10004,0,1,,15
1.87873312155400E+12 Total,15,,,1,,15
1.89E+12,15,19850,0,1,,15
1.89320197104400E+12 Total,15,,,1,,15
1.89E+12,15,22064,0,1,,15
1.89383211252200E+12 Total,15,,,1,,15
1.90E+12,15,3,0,1,,15
1.89562707438400E+12 Total,15,,,1,,15
1.91E+12,15,1413,0,1,,15
1.91304960167000E+12 Total,15,,,1,,15
1.91E+12,15,7796,0,1,,15
1.91399306209000E+12 Total,15,,,1,,15
1.92E+12,15,13792,0,1,,15
1.91628570220400E+12 Total,15,,,1,,15
1.94E+12,15,9268,0,1,,15
1.94332920700200E+12 Total,15,,,1,,15
1.95E+12,15,19072,0,1,,15
1.95195754311200E+12 Total,15,,,1,,15
1.96E+12,15,2952,0,1,,15
1.96E+12,15,6186,0,1,,15
1.96302989550600E+12 Total,30,,,2,,15
1.96E+12,15,21373,0,1,,15
1.96345086334600E+12 Total,15,,,1,,15
1.97E+12,15,3813,0,1,,15
1.96764705937400E+12 Total,15,,,1,,15
1.97E+12,15,12331,0,1,,15
1.97236266463800E+12 Total,15,,,1,,15
1.98E+12,15,5324,0,1,,15
1.97705399640400E+12 Total,15,,,1,,15
2.00E+12,15,13079,0,1,,15
2.00E+12,15,14521,0,1,,15
2.00069011767400E+12 Total,30,,,2,,15
2.02E+12,15,10720,0,1,,15
2.01653166753200E+12 Total,15,,,1,,15
2.03E+12,15,16018,0,1,,15
2.03052382694600E+12 Total,15,,,1,,15
2.07E+12,15,4571,0,1,,15
2.07393364120600E+12 Total,15,,,1,,15
2.21E+12,14,16786,0,1,,14
2.20510806495600E+12 Total,14,,,1,,14
2.21E+12,14,16785,2,1,,14
2.20891689773200E+12 Total,14,,,1,,14
2.30E+12,14,10007,0,1,,14
2.29581567479800E+12 Total,14,,,1,,14
2.31E+12,14,10006,2,1,,14
2.30687233501400E+12 Total,14,,,1,,14
2.32E+12,14,703,0,1,,14
2.31506299389400E+12 Total,14,,,1,,14
2.32E+12,14,15233,0,1,,14
2.32322038915800E+12 Total,14,,,1,,14
2.33E+12,14,11388,0,1,,14
2.33065228706600E+12 Total,14,,,1,,14
2.34E+12,14,6968,0,1,,14
2.34429020587000E+12 Total,14,,,1,,14
2.35E+12,14,10005,2,1,,14
2.34732185341000E+12 Total,14,,,1,,14
2.35E+12,14,702,2,1,,14
2.35279691927000E+12 Total,14,,,1,,14
2.36E+12,14,18353,0,1,,14
2.35725257411000E+12 Total,14,,,1,,14
2.36E+12,14,17538,0,1,,14
2.35943355974200E+12 Total,14,,,1,,14
2.36E+12,14,20694,2,1,,14
2.36022299142000E+12 Total,14,,,1,,14
2.38E+12,14,20695,0,1,,14
2.37673787251600E+12 Total,14,,,1,,14
2.38E+12,14,2114,2,1,,14
2.38096722522400E+12 Total,14,,,1,,14
2.39E+12,14,19852,0,1,,14
2.38605689741200E+12 Total,14,,,1,,14
2.39E+12,14,8571,2,1,,14
2.38698607316400E+12 Total,14,,,1,,14
2.39E+12,14,5,0,1,,14
2.38712138199600E+12 Total,14,,,1,,14
2.39E+12,14,8572,0,1,,14
2.38834887785200E+12 Total,14,,,1,,14
2.40E+12,14,13793,0,1,,14
2.39562280624000E+12 Total,14,,,1,,14
2.40E+12,14,2115,0,1,,14
2.39569635452000E+12 Total,14,,,1,,14
2.40E+12,14,19851,2,1,,14
2.39894285418800E+12 Total,14,,,1,,14
2.42E+12,14,22065,0,1,,14
2.41643871046200E+12 Total,14,,,1,,14
2.43E+12,14,7797,0,1,,14
2.42739104024600E+12 Total,14,,,1,,14
2.43E+12,14,5325,0,1,,14
2.42890204670800E+12 Total,14,,,1,,14
2.43E+12,14,4,2,1,,14
2.42951504648400E+12 Total,14,,,1,,14
2.43E+12,14,14522,0,1,,14
2.43094614846600E+12 Total,14,,,1,,14
2.44E+12,14,3814,2,1,,14
2.43758428567800E+12 Total,14,,,1,,14
2.44E+12,14,2953,0,1,,14
2.43859028688200E+12 Total,14,,,1,,14
2.45E+12,14,21374,0,1,,14
2.44595677181800E+12 Total,14,,,1,,14
2.46E+12,14,13080,0,1,,14
2.46270364646200E+12 Total,14,,,1,,14
2.47E+12,14,9270,0,1,,14
2.46685108535000E+12 Total,14,,,1,,14
2.47E+12,14,3815,0,1,,14
2.47044894575800E+12 Total,14,,,1,,14
2.47E+12,14,1414,0,1,,14
2.47236304589800E+12 Total,14,,,1,,14
2.49E+12,14,12332,2,1,,14
2.48819041156200E+12 Total,14,,,1,,14
2.49E+12,14,6187,0,1,,14
2.49137835180600E+12 Total,14,,,1,,14
2.52E+12,14,12333,0,1,,14
2.52386183378200E+12 Total,14,,,1,,14
2.55E+12,14,9269,2,1,,14
2.55087292829000E+12 Total,14,,,1,,14
2.55E+12,14,10721,0,1,,14
2.55145524838800E+12 Total,14,,,1,,14
2.57E+12,14,4574,2,1,,14
2.56903653693400E+12 Total,14,,,1,,14
2.58E+12,14,4573,2,1,,14
2.57888520944600E+12 Total,14,,,1,,14
2.59E+12,14,4572,2,1,,14
2.58964062964600E+12 Total,14,,,1,,14
2.60E+12,14,16019,0,1,,14
2.60096816804200E+12 Total,14,,,1,,14
2.61E+12,13,16787,0,1,,13
2.60806925837000E+12 Total,13,,,1,,13
2.61E+12,14,19073,0,1,,14
2.61065056747200E+12 Total,14,,,1,,14
2.63E+12,14,4575,0,1,,14
2.62931417124600E+12 Total,14,,,1,,14
2.70E+12,13,704,2,1,,13
2.69793645743800E+12 Total,13,,,1,,13
2.70E+12,13,2120,1,1,,13
2.69916380946000E+12 Total,13,,,1,,13
2.70E+12,13,15234,1,1,,13
2.70476621757500E+12 Total,13,,,1,,13
2.72E+12,13,706,1,1,,13
2.71916465900400E+12 Total,13,,,1,,13
2.74E+12,13,707,0,1,,13
2.74148010732800E+12 Total,13,,,1,,13
2.75E+12,13,705,1,1,,13
2.75017230720800E+12 Total,13,,,1,,13
2.75E+12,13,18356,1,1,,13
2.75464702586300E+12 Total,13,,,1,,13
2.76E+12,13,2122,0,1,,13
2.76044638523000E+12 Total,13,,,1,,13
2.76E+12,13,2117,1,1,,13
2.76477281471400E+12 Total,13,,,1,,13
2.77E+12,13,2118,1,1,,13
2.77403516615000E+12 Total,13,,,1,,13
2.78E+12,13,2116,1,1,,13
2.78481404933000E+12 Total,13,,,1,,13
2.79E+12,13,18354,2,1,,13
2.79189676549400E+12 Total,13,,,1,,13
2.80E+12,13,11389,0,1,,13
2.79803196284200E+12 Total,13,,,1,,13
2.80E+12,13,2121,1,1,,13
2.79872017015600E+12 Total,13,,,1,,13
2.80E+12,13,6969,0,1,,13
2.79894987728400E+12 Total,13,,,1,,13
2.80E+12,13,8573,1,1,,13
2.80002396397300E+12 Total,13,,,1,,13
2.81E+12,13,15235,0,1,,13
2.80638543927900E+12 Total,13,,,1,,13
2.81E+12,13,17539,0,1,,13
2.80822228688200E+12 Total,13,,,1,,13
2.81E+12,13,6,0,1,,13
2.81160993997000E+12 Total,13,,,1,,13
2.82E+12,13,18355,1,1,,13
2.81678160015700E+12 Total,13,,,1,,13
2.82E+12,13,10008,0,1,,13
2.81880732188500E+12 Total,13,,,1,,13
2.82E+12,13,7798,0,1,,13
2.82059678698500E+12 Total,13,,,1,,13
2.82E+12,13,20696,0,1,,13
2.82281149084400E+12 Total,13,,,1,,13
2.83E+12,13,13794,0,1,,13
2.82922843178400E+12 Total,13,,,1,,13
2.83E+12,13,22066,0,1,,13
2.82930060012300E+12 Total,13,,,1,,13
2.83E+12,13,21375,0,1,,13
2.83038238932900E+12 Total,13,,,1,,13
2.83E+12,13,8574,0,1,,13
2.83446445591600E+12 Total,13,,,1,,13
2.84E+12,13,2119,2,1,,13
2.83943964438000E+12 Total,13,,,1,,13
2.85E+12,13,1415,0,1,,13
2.84814875652300E+12 Total,13,,,1,,13
2.85E+12,13,18357,0,1,,13
2.85445187707400E+12 Total,13,,,1,,13
2.86E+12,13,13083,1,1,,13
2.85574194155300E+12 Total,13,,,1,,13
2.86E+12,13,3816,1,1,,13
2.85578305608800E+12 Total,13,,,1,,13
2.86E+12,13,6188,0,1,,13
2.86147107922600E+12 Total,13,,,1,,13
2.87E+12,13,13081,1,1,,13
2.86508189500700E+12 Total,13,,,1,,13
2.87E+12,13,5326,2,1,,13
2.86596357103600E+12 Total,13,,,1,,13
2.87E+12,13,5327,0,1,,13
2.87335799317500E+12 Total,13,,,1,,13
2.88E+12,13,2954,0,1,,13
2.88268607594100E+12 Total,13,,,1,,13
2.89E+12,13,9271,0,1,,13
2.88515556532000E+12 Total,13,,,1,,13
2.89E+12,13,14523,0,1,,13
2.88675761535600E+12 Total,13,,,1,,13
2.89E+12,13,3818,1,1,,13
2.88701096976600E+12 Total,13,,,1,,13
2.90E+12,13,3819,0,1,,13
2.89938925527000E+12 Total,13,,,1,,13
2.91E+12,13,13085,0,1,,13
2.90613491753700E+12 Total,13,,,1,,13
2.91E+12,13,3817,1,1,,13
2.91259437987800E+12 Total,13,,,1,,13
2.92E+12,13,13082,1,1,,13
2.92304200126300E+12 Total,13,,,1,,13
2.96E+12,13,19853,0,1,,13
2.95584633849000E+12 Total,13,,,1,,13
2.97E+12,13,13084,1,1,,13
2.96836457047700E+12 Total,13,,,1,,13
2.99E+12,13,10723,1,1,,13
2.98640119624000E+12 Total,13,,,1,,13
3.01E+12,13,4576,0,1,,13
3.01212095110800E+12 Total,13,,,1,,13
3.02E+12,12,16788,0,1,,12
3.02407802697800E+12 Total,12,,,1,,12
3.03E+12,13,10724,0,1,,13
3.02602741206400E+12 Total,13,,,1,,13
3.03E+12,13,12334,0,1,,13
3.03166853237600E+12 Total,13,,,1,,13
3.04E+12,13,16020,0,1,,13
3.03804977887800E+12 Total,13,,,1,,13
3.05E+12,13,10722,1,1,,13
3.05341377907200E+12 Total,13,,,1,,13
3.06E+12,13,19074,2,1,,13
3.06478416710600E+12 Total,13,,,1,,13
3.09E+12,13,19075,0,1,,13
3.08758480091000E+12 Total,13,,,1,,13
3.12E+12,12,21377,2,1,,12
3.11540431102500E+12 Total,12,,,1,,12
3.12E+12,12,2123,1,1,,12
3.11611203875000E+12 Total,12,,,1,,12
3.14E+12,12,2125,0,1,,12
3.14214406395800E+12 Total,12,,,1,,12
3.15E+12,12,6190,2,1,,12
3.15312324635800E+12 Total,12,,,1,,12
3.16E+12,12,2124,1,1,,12
3.15832271478200E+12 Total,12,,,1,,12
3.16E+12,12,708,2,1,,12
3.15907054214000E+12 Total,12,,,1,,12
3.16E+12,12,8,0,1,,12
3.16040565709000E+12 Total,12,,,1,,12
3.16E+12,12,21376,2,1,,12
3.16416070563300E+12 Total,12,,,1,,12
3.17E+12,12,15236,2,1,,12
3.16734631770300E+12 Total,12,,,1,,12
3.17E+12,12,13800,2,1,,12
3.17362001545200E+12 Total,12,,,1,,12
3.18E+12,12,8575,2,1,,12
3.17673998806000E+12 Total,12,,,1,,12
3.18E+12,12,22070,0,1,,12
3.17686489219500E+12 Total,12,,,1,,12
3.18E+12,12,13801,0,1,,12
3.18350082085200E+12 Total,12,,,1,,12
3.19E+12,12,22069,2,1,,12
3.18640778961900E+12 Total,12,,,1,,12
3.19E+12,12,7,2,1,,12
3.18660958264600E+12 Total,12,,,1,,12
3.19E+12,12,21378,0,1,,12
3.18683339484900E+12 Total,12,,,1,,12
3.19E+12,12,22068,2,1,,12
3.18806094482700E+12 Total,12,,,1,,12
3.19E+12,12,709,0,1,,12
3.19262771684000E+12 Total,12,,,1,,12
3.20E+12,12,18358,0,1,,12
3.19761070994600E+12 Total,12,,,1,,12
3.20E+12,12,2960,2,1,,12
3.19913006136900E+12 Total,12,,,1,,12
3.20E+12,12,7799,0,1,,12
3.20110000768500E+12 Total,12,,,1,,12
3.21E+12,12,13798,2,1,,12
3.20573608951200E+12 Total,12,,,1,,12
3.21E+12,12,11390,0,1,,12
3.21418738834600E+12 Total,12,,,1,,12
3.22E+12,12,13797,2,1,,12
3.21745124940000E+12 Total,12,,,1,,12
3.22E+12,12,22067,2,1,,12
3.21930175622700E+12 Total,12,,,1,,12
3.22E+12,12,10010,0,1,,12
3.21994096866100E+12 Total,12,,,1,,12
3.23E+12,12,6192,0,1,,12
3.22703601243400E+12 Total,12,,,1,,12
3.23E+12,12,6191,2,1,,12
3.22715869198600E+12 Total,12,,,1,,12
3.23E+12,12,13796,2,1,,12
3.22794627909600E+12 Total,12,,,1,,12
3.23E+12,12,2956,2,1,,12
3.23281288907700E+12 Total,12,,,1,,12
3.23E+12,12,6970,2,1,,12
3.23421764889600E+12 Total,12,,,1,,12
3.24E+12,12,13795,2,1,,12
3.23656157083200E+12 Total,12,,,1,,12
3.24E+12,12,13799,2,1,,12
3.24068788413600E+12 Total,12,,,1,,12
3.24E+12,12,6189,2,1,,12
3.24307422629800E+12 Total,12,,,1,,12
3.25E+12,12,6971,0,1,,12
3.24541843824000E+12 Total,12,,,1,,12
3.25E+12,12,17540,0,1,,12
3.24721971526600E+12 Total,12,,,1,,12
3.25E+12,12,5328,0,1,,12
3.25109353569900E+12 Total,12,,,1,,12
3.25E+12,12,15237,0,1,,12
3.25449927145500E+12 Total,12,,,1,,12
3.26E+12,12,1417,0,1,,12
3.26404224397500E+12 Total,12,,,1,,12
3.26E+12,12,20697,1,1,,12
3.26485570662800E+12 Total,12,,,1,,12
3.27E+12,12,10009,2,1,,12
3.26698883612500E+12 Total,12,,,1,,12
3.27E+12,12,2958,2,1,,12
3.26724313142100E+12 Total,12,,,1,,12
3.27E+12,12,3820,0,1,,12
3.26866259383800E+12 Total,12,,,1,,12
3.27E+12,12,14525,0,1,,12
3.26958661239600E+12 Total,12,,,1,,12
3.27E+12,12,2962,0,1,,12
3.26982330040500E+12 Total,12,,,1,,12
3.28E+12,12,20699,0,1,,12
3.27657303494000E+12 Total,12,,,1,,12
3.28E+12,12,19854,2,1,,12
3.28203879301800E+12 Total,12,,,1,,12
3.29E+12,12,20698,1,1,,12
3.28585782873200E+12 Total,12,,,1,,12
3.29E+12,12,2955,2,1,,12
3.28656818624100E+12 Total,12,,,1,,12
3.29E+12,12,2957,2,1,,12
3.28749154100100E+12 Total,12,,,1,,12
3.29E+12,12,14524,2,1,,12
3.28930853547600E+12 Total,12,,,1,,12
3.29E+12,12,8576,0,1,,12
3.29306676218800E+12 Total,12,,,1,,12
3.29E+12,12,1416,2,1,,12
3.29391913651500E+12 Total,12,,,1,,12
3.30E+12,12,2959,2,1,,12
3.29660947047300E+12 Total,12,,,1,,12
3.31E+12,12,9272,0,1,,12
3.30888946856800E+12 Total,12,,,1,,12
3.32E+12,12,13086,2,1,,12
3.31581256925700E+12 Total,12,,,1,,12
3.32E+12,12,2961,2,1,,12
3.32196050788500E+12 Total,12,,,1,,12
3.35E+12,12,10725,0,1,,12
3.34947137155600E+12 Total,12,,,1,,12
3.35E+12,12,13087,0,1,,12
3.35467454321700E+12 Total,12,,,1,,12
3.36E+12,12,19855,0,1,,12
3.35633574966600E+12 Total,12,,,1,,12
3.38E+12,12,12336,0,1,,12
3.38301128932400E+12 Total,12,,,1,,12
3.38E+12,12,4577,0,1,,12
3.38397793887600E+12 Total,12,,,1,,12
3.39E+12,12,12335,2,1,,12
3.39145755303200E+12 Total,12,,,1,,12
3.41E+12,11,16789,0,1,,11
3.40949401987400E+12 Total,11,,,1,,11
3.45E+12,12,16021,0,1,,12
3.44582077925400E+12 Total,12,,,1,,12
3.48E+12,12,19076,0,1,,12
3.48139479517400E+12 Total,12,,,1,,12
3.51E+12,11,2126,0,1,,11
3.51024783243000E+12 Total,11,,,1,,11
3.55E+12,11,22071,0,1,,11
3.54784931650000E+12 Total,11,,,1,,11
3.55E+12,11,6193,0,1,,11
3.55019481977900E+12 Total,11,,,1,,11
3.55E+12,11,13802,0,1,,11
3.55136978297200E+12 Total,11,,,1,,11
3.57E+12,11,21379,0,1,,11
3.57489989161200E+12 Total,11,,,1,,11
3.58E+12,11,11391,0,1,,11
3.57857106568500E+12 Total,11,,,1,,11
3.58E+12,11,2963,0,1,,11
3.58038580469000E+12 Total,11,,,1,,11
3.59E+12,11,9,0,1,,11
3.59184603874800E+12 Total,11,,,1,,11
3.61E+12,11,710,0,1,,11
3.60519822869900E+12 Total,11,,,1,,11
3.61E+12,11,17542,0,1,,11
3.60953711126700E+12 Total,11,,,1,,11
3.61E+12,11,10011,0,1,,11
3.61166831742100E+12 Total,11,,,1,,11
3.61E+12,11,5329,2,1,,11
3.61466342562400E+12 Total,11,,,1,,11
3.62E+12,11,18359,0,1,,11
3.61792417830100E+12 Total,11,,,1,,11
3.62E+12,11,3821,0,1,,11
3.61998435367100E+12 Total,11,,,1,,11
3.62E+12,11,9273,0,1,,11
3.62427144444400E+12 Total,11,,,1,,11
3.63E+12,11,6972,0,1,,11
3.62935119826400E+12 Total,11,,,1,,11
3.63E+12,11,14526,0,1,,11
3.63300680998700E+12 Total,11,,,1,,11
3.63E+12,11,5330,0,1,,11
3.63303243816500E+12 Total,11,,,1,,11
3.64E+12,11,1418,0,1,,11
3.64350582446000E+12 Total,11,,,1,,11
3.65E+12,11,8577,0,1,,11
3.64877625933100E+12 Total,11,,,1,,11
3.65E+12,11,17541,2,1,,11
3.65354448801000E+12 Total,11,,,1,,11
3.67E+12,11,15238,0,1,,11
3.66854337600600E+12 Total,11,,,1,,11
3.68E+12,11,7800,0,1,,11
3.67919082872800E+12 Total,11,,,1,,11
3.68E+12,11,20700,0,1,,11
3.68407141586700E+12 Total,11,,,1,,11
3.70E+12,11,4578,0,1,,11
3.69736086699800E+12 Total,11,,,1,,11
3.70E+12,11,19857,2,1,,11
3.69852497844300E+12 Total,11,,,1,,11
3.70E+12,11,13088,0,1,,11
3.70337492970200E+12 Total,11,,,1,,11
3.73E+12,10,16791,0,1,,10
3.72898103788400E+12 Total,10,,,1,,10
3.73E+12,11,19856,2,1,,11
3.73146392435100E+12 Total,11,,,1,,11
3.74E+12,11,19858,2,1,,11
3.73635115467700E+12 Total,11,,,1,,11
3.74E+12,11,19859,0,1,,11
3.73943717484500E+12 Total,11,,,1,,11
3.76E+12,11,12337,0,1,,11
3.76010082369500E+12 Total,11,,,1,,11
3.76E+12,10,16790,2,1,,10
3.76333967695400E+12 Total,10,,,1,,10
3.78E+12,11,10726,0,1,,11
3.77906361285400E+12 Total,11,,,1,,11
3.81E+12,11,16022,0,1,,11
3.80777723806300E+12 Total,11,,,1,,11
3.86E+12,11,19077,0,1,,11
3.86287110461900E+12 Total,11,,,1,,11
3.87E+12,10,13803,0,1,,10
3.87444286107200E+12 Total,10,,,1,,10
3.88E+12,10,10012,2,1,,10
3.88381873660100E+12 Total,10,,,1,,10
3.89E+12,10,21380,0,1,,10
3.88649646011200E+12 Total,10,,,1,,10
3.89E+12,10,22072,0,1,,10
3.89150922218000E+12 Total,10,,,1,,10
3.90E+12,10,2964,0,1,,10
3.89595682524000E+12 Total,10,,,1,,10
3.90E+12,10,11392,2,1,,10
3.90171118791500E+12 Total,10,,,1,,10
3.91E+12,10,714,0,1,,10
3.91332438312900E+12 Total,10,,,1,,10
3.92E+12,10,711,2,1,,10
3.91666140569900E+12 Total,10,,,1,,10
3.92E+12,10,713,2,1,,10
3.91671131885900E+12 Total,10,,,1,,10
3.92E+12,10,11394,2,1,,10
3.92401020267500E+12 Total,10,,,1,,10
3.93E+12,10,9274,2,1,,10
3.92808289563400E+12 Total,10,,,1,,10
3.93E+12,10,17543,0,1,,10
3.93236493383700E+12 Total,10,,,1,,10
3.94E+12,10,6973,2,1,,10
3.93712713794400E+12 Total,10,,,1,,10
3.94E+12,10,11393,2,1,,10
3.93719703841500E+12 Total,10,,,1,,10
3.95E+12,10,18360,0,1,,10
3.94927496263100E+12 Total,10,,,1,,10
3.96E+12,10,6976,0,1,,10
3.95682435556400E+12 Total,10,,,1,,10
3.96E+12,10,6975,2,1,,10
3.95876556949400E+12 Total,10,,,1,,10
3.96E+12,10,6194,0,1,,10
3.96015054036900E+12 Total,10,,,1,,10
3.96E+12,10,712,2,1,,10
3.96031739247900E+12 Total,10,,,1,,10
3.97E+12,10,11395,0,1,,10
3.96784464012500E+12 Total,10,,,1,,10
3.97E+12,10,10013,0,1,,10
3.97196094186100E+12 Total,10,,,1,,10
3.97E+12,10,5332,0,1,,10
3.97329433224500E+12 Total,10,,,1,,10
3.98E+12,10,5331,2,1,,10
3.97616735911500E+12 Total,10,,,1,,10
3.98E+12,10,6974,2,1,,10
3.98338999149400E+12 Total,10,,,1,,10
3.99E+12,10,10,0,1,,10
3.98937046841800E+12 Total,10,,,1,,10
4.01E+12,10,7801,0,1,,10
4.00785579060800E+12 Total,10,,,1,,10
4.01E+12,10,10731,2,1,,10
4.00803585198400E+12 Total,10,,,1,,10
4.01E+12,10,1419,0,1,,10
4.00999654192000E+12 Total,10,,,1,,10
4.02E+12,10,19860,0,1,,10
4.01532903761500E+12 Total,10,,,1,,10
4.02E+12,10,9275,0,1,,10
4.01547425155400E+12 Total,10,,,1,,10
4.02E+12,10,8578,2,1,,10
4.01647875103100E+12 Total,10,,,1,,10
4.02E+12,10,14527,0,1,,10
4.01944916852700E+12 Total,10,,,1,,10
4.02E+12,10,2127,0,1,,10
4.02149352516000E+12 Total,10,,,1,,10
4.02E+12,10,13089,0,1,,10
4.02467969134200E+12 Total,10,,,1,,10
4.03E+12,10,3822,0,1,,10
4.02662949347100E+12 Total,10,,,1,,10
4.03E+12,10,10729,2,1,,10
4.02700045682400E+12 Total,10,,,1,,10
4.03E+12,10,20701,0,1,,10
4.02841756030700E+12 Total,10,,,1,,10
4.04E+12,10,10736,2,1,,10
4.04284240554400E+12 Total,10,,,1,,10
4.05E+12,10,8579,0,1,,10
4.04505082619100E+12 Total,10,,,1,,10
4.06E+12,10,4579,0,1,,10
4.05951400516800E+12 Total,10,,,1,,10
4.06E+12,10,10732,2,1,,10
4.06E+12,10,10739,2,1,,10
4.06022101024400E+12 Total,20,,,2,,10
4.07E+12,10,10734,2,1,,10
4.06801329020400E+12 Total,10,,,1,,10
4.07E+12,10,10738,2,1,,10
4.07221705496400E+12 Total,10,,,1,,10
4.07E+12,10,10735,2,1,,10
4.07263654738400E+12 Total,10,,,1,,10
4.08E+12,9,16792,2,1,,9
4.07690810501900E+12 Total,9,,,1,,9
4.08E+12,10,12339,2,1,,10
4.08015212374500E+12 Total,10,,,1,,10
4.08E+12,10,10737,2,1,,10
4.08428484958400E+12 Total,10,,,1,,10
4.09E+12,10,10727,2,1,,10
4.09031085186400E+12 Total,10,,,1,,10
4.09E+12,10,10733,2,1,,10
4.09065678804400E+12 Total,10,,,1,,10
4.10E+12,10,12338,2,1,,10
4.10106082267500E+12 Total,10,,,1,,10
4.10E+12,10,10730,2,1,,10
4.10136661821400E+12 Total,10,,,1,,10
4.10E+12,10,15239,0,1,,10
4.10144854270600E+12 Total,10,,,1,,10
4.11E+12,9,16793,0,1,,9
4.10985282490700E+12 Total,9,,,1,,9
4.12E+12,10,10740,0,1,,10
4.11580874208400E+12 Total,10,,,1,,10
4.13E+12,10,10728,2,1,,10
4.13025329115400E+12 Total,10,,,1,,10
4.14E+12,10,12340,0,1,,10
4.14467558509500E+12 Total,10,,,1,,10
4.15E+12,10,19078,0,1,,10
4.15333861153900E+12 Total,10,,,1,,10
4.16E+12,10,16023,0,1,,10
4.15558033653300E+12 Total,10,,,1,,10
4.19E+12,9,2965,2,1,,9
4.18504377971100E+12 Total,9,,,1,,9
4.19E+12,9,22074,0,1,,9
4.18615524482000E+12 Total,9,,,1,,9
4.19E+12,9,6978,2,1,,9
4.19327608157300E+12 Total,9,,,1,,9
4.19E+12,9,13804,0,1,,9
4.19393240747300E+12 Total,9,,,1,,9
4.24E+12,9,6195,0,1,,9
4.23518416183500E+12 Total,9,,,1,,9
4.24E+12,9,715,0,1,,9
4.24397076183600E+12 Total,9,,,1,,9
4.24E+12,9,10016,2,1,,9
4.24454876986600E+12 Total,9,,,1,,9
4.25E+12,9,22073,2,1,,9
4.24589748919700E+12 Total,9,,,1,,9
4.25E+12,9,2966,0,1,,9
4.25124842992500E+12 Total,9,,,1,,9
4.26E+12,9,10017,2,1,,9
4.25776327815700E+12 Total,9,,,1,,9
4.26E+12,9,21381,0,1,,9
4.26091189720000E+12 Total,9,,,1,,9
4.26E+12,9,18361,2,1,,9
4.26305827172000E+12 Total,9,,,1,,9
4.26E+12,9,17544,0,1,,9
4.26413594862900E+12 Total,9,,,1,,9
4.26E+12,9,6979,2,1,,9
4.26440402628500E+12 Total,9,,,1,,9
4.27E+12,9,1423,2,1,,9
4.26800460034300E+12 Total,9,,,1,,9
4.27E+12,9,1420,2,1,,9
4.27445246190100E+12 Total,9,,,1,,9
4.28E+12,9,1426,2,1,,9
4.27587043429300E+12 Total,9,,,1,,9
