Week,Sched Games,Sched Byes,Unsched Games,Unsched Byes,Unsched Teams,Team1,Team2,Team3,Team4
3,14,0,29,0,4,eagles,cowboys,jets,jaguars,S:1:sai:bro:0.00677655677655678:0.0,S:2:lio:ram:0.02192982456140352:0.0,S:3:vik:bil:0.0378787878787879:0.0,U:tit:col:0.7970695970695971:0.0:0,U:pan:buc:0.6233893557422969:0.0:0,U:cow:red:0.686996336996337:0.0:0
3,15,0,28,0,2,falcons,49ers,S:1:buc:eag:0.05805860805860805:0.0,S:2:cow:red:0.6159437054173896:0.0,S:3:jet:pac:0.16343460461107515:0.0,U:tit:col:0.5879786879786881:0.0:0,U:pan:buc:0.48333333333333345:0.0:0,U:gia:cow:0.6415847310584153:0.0:0
3,13,0,30,0,6,eagles,cowboys,jets,jaguars,Broncos,Ravens,S:1:buc:fal:0.011904761904761973:0.0,S:2:49e:bea:0.08246708246708245:0.0,S:3:car:red:0.005608974358974339:0.0,U:tit:col:0.6637362637362638:0.0:0,U:pan:buc:0.48333333333333345:0.0:0,U:gia:cow:0.6181929181929182:0.0:0
3,15,0,28,0,2,colts,49ers,S:1:buc:eag:0.05805860805860805:0.0,S:2:cow:red:0.6159437054173896:0.0,S:3:jet:pac:0.16343460461107515:0.0,U:tit:col:0.5804029304029306:0.0:0,U:pan:buc:0.48333333333333345:0.0:0,U:gia:cow:0.6415847310584153:0.0:0
3,15,0,28,0,2,jets,jaguars,S:1:col:bil:0.011904761904761918:0.0,S:2:49e:bea:0.08246708246708245:0.0,S:3:lio:ram:0.010416666666666685:0.0,U:tit:col:0.5923076923076924:0.0:0,U:pan:buc:0.5785714285714287:0.0:0,U:49e:car:0.20517770517770534:0.0:0
3,15,0,28,0,2,eagles,cowboys,S:1:jet:pac:0.14102564102564097:0.0,S:2:jag:tex:0.12540342540342553:0.0,S:3:vik:bil:-0.022727272727272707:0.0,U:tit:col:0.650915750915751:0.0:0,U:pan:buc:0.8880952380952383:0.0:0,U:49e:car:0.2549643339117025:0.0:0
3,14,0,29,0,4,jets,falcons,Chiefs,49ers,S:1:buc:eag:0.05805860805860805:0.0,S:2:cow:red:0.6159437054173896:0.0,S:3:sai:bro:0.02358327946563242:0.0,U:tit:col:0.6470695970695972:0.0:0,U:pan:buc:0.48333333333333345:0.0:0,U:49e:car:0.21471665589312663:0.0:0
3,15,0,28,0,2,cowboys,jaguars,S:1:jet:pac:0.14102564102564097:0.0,S:2:buc:fal:0.024774774774774855:0.0,S:3:sea:chi:0.04729853479853485:0.0,U:tit:col:0.650915750915751:0.0:0,U:pan:buc:0.4962033462033464:0.0:0,U:49e:car:0.23500063155235584:0.0:0
3,14,0,29,0,4,eagles,jets,Chiefs,Cardinals,S:1:cow:red:0.6084249084249084:0.0,S:2:jag:tex:0.12326971274339707:0.0,S:3:vik:bil:0.00490196078431375:0.0,U:tit:col:0.6334332334332335:0.0:0,U:pan:buc:0.541941391941392:0.0:0,U:49e:car:0.2637362637362639:0.0:0
3,14,0,29,0,4,cowboys,jaguars,panthers,49ers,S:1:buc:eag:0.05805860805860805:0.0,S:2:jet:pac:0.15105070368228257:0.0,S:3:sea:chi:0.04540459540459546:0.0,U:tit:col:0.6637362637362638:0.0:0,U:pan:buc:0.48333333333333345:0.0:0,U:49e:car:0.23040293040293056:0.0:0
3,14,0,29,0,4,eagles,jets,Cardinals,Rams,S:1:cow:red:0.6084249084249084:0.0,S:2:jag:tex:0.12326971274339707:0.0,S:3:pan:ben:0.4812755871579401:0.0,U:tit:col:0.6549643339117024:0.0:0,U:pan:buc:0.5057422969187677:0.0:0,U:49e:car:0.19706959706959723:0.0:0
3,14,0,29,0,4,cowboys,jaguars,panthers,49ers,S:1:buc:eag:0.05805860805860805:0.0,S:2:jet:pac:0.15105070368228257:0.0,S:3:car:bea:0.09557109557109555:0.0,U:tit:col:0.6637362637362638:0.0:0,U:pan:buc:0.48333333333333345:0.0:0,U:49e:car:0.21828171828171844:0.0:0
