FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count 
2.9678791431666E13,5,91506,0,2.2772249071871E13,2
2.9678791431666E13,5,91506,-1,-1,2
2.9678791431666E13,5,91511,0,2.2772249071871E13,3
2.9678791431666E13,5,91511,-1,-1,3
2.9374536682088E13,5,91516,0,2.2772249071871E13,1
3.5300103037468E13,4,91518,0,2.9374536682088E13,1
3.5147489262308E13,4,91541,0,2.9374536682088E13,1
3.5147489262308E13,4,91564,0,2.9374536682088E13,2
3.5147489262308E13,4,91564,-1,-1,2
3.5147489262308E13,4,91566,0,2.9374536682088E13,3
3.5147489262308E13,4,91566,-1,-1,3
3.5290738066916E13,4,91568,0,2.9374536682088E13,1
4.2815145428966E13,3,91570,0,3.5290738066916E13,1
4.2815145428966E13,3,91593,0,3.5290738066916E13,2
4.2815145428966E13,3,91593,-1,-1,2
4.2815145428966E13,3,91595,0,3.5290738066916E13,3
4.2815145428966E13,3,91595,-1,-1,3
4.3884413359166E13,3,91597,0,3.5290738066916E13,1
4.3884413359166E13,3,91620,0,3.5290738066916E13,2
4.3884413359166E13,3,91620,-1,-1,2
4.3884413359166E13,3,91622,0,3.5290738066916E13,3
4.3884413359166E13,3,91622,-1,-1,3
4.2815145428966E13,3,91624,0,3.5290738066916E13,4
4.2815145428966E13,3,91624,-1,-1,4
4.2815145428966E13,3,91626,0,3.5290738066916E13,5
4.2815145428966E13,3,91626,-1,-1,5
4.2815145428966E13,3,91628,0,3.5290738066916E13,6
4.2815145428966E13,3,91628,-1,-1,6
4.3884413359166E13,3,91630,0,3.5290738066916E13,4
4.3884413359166E13,3,91630,-1,-1,4
4.3884413359166E13,3,91632,0,3.5290738066916E13,5
4.3884413359166E13,3,91632,-1,-1,5
4.3884413359166E13,3,91634,0,3.5290738066916E13,6
4.3884413359166E13,3,91634,-1,-1,6
4.3884413359166E13,3,91636,0,3.5290738066916E13,7
4.3884413359166E13,3,91636,-1,-1,7
4.3884413359166E13,3,91638,0,3.5290738066916E13,8
4.3884413359166E13,3,91638,-1,-1,8
3.5300103037468E13,4,91641,0,2.9374536682088E13,2
3.5300103037468E13,4,91641,-1,-1,2
3.5443351842076E13,4,91643,0,2.9374536682088E13,1
4.2833673351226E13,3,91645,0,3.5443351842076E13,1
4.2833673351226E13,3,91668,0,3.5443351842076E13,2
4.2833673351226E13,3,91668,-1,-1,2
4.2833673351226E13,3,91670,0,3.5443351842076E13,3
4.2833673351226E13,3,91670,-1,-1,3
4.2833673351226E13,3,91672,0,3.5443351842076E13,4
4.2833673351226E13,3,91672,-1,-1,4
4.2833673351226E13,3,91674,0,3.5443351842076E13,5
4.2833673351226E13,3,91674,-1,-1,5
4.2833673351226E13,3,91676,0,3.5443351842076E13,6
4.2833673351226E13,3,91676,-1,-1,6
4.2833673351226E13,3,91678,0,3.5443351842076E13,7
4.2833673351226E13,3,91678,-1,-1,7
4.2833673351226E13,3,91680,0,3.5443351842076E13,8
4.2833673351226E13,3,91680,-1,-1,8
4.2833673351226E13,3,91682,0,3.5443351842076E13,9
4.2833673351226E13,3,91682,-1,-1,9
4.2833673351226E13,3,91684,0,3.5443351842076E13,10
4.2833673351226E13,3,91684,-1,-1,10
4.2833673351226E13,3,91686,0,3.5443351842076E13,11
4.2833673351226E13,3,91686,-1,-1,11
3.5290738066916E13,4,91689,0,2.9374536682088E13,2
3.5290738066916E13,4,91689,-1,-1,2
